date,n,ret_net_mean,ret_gross_mean,hit_up20,hit_pos,cum_ret_net
2025-09-16,10,-0.05349307162866814,-0.050645006648613954,0.1,0.4,24.457122987938238
2025-09-17,10,0.014362913984804649,0.01741515946319422,0.2,0.4,24.82276145571459
2025-09-18,10,0.01186881867809142,0.01491355935615991,0.2,0.4,25.129247129200074
2025-09-19,10,-0.03815440057515236,-0.035260181118507886,0.0,0.2,24.132301367505423
2025-09-22,10,0.08634157875090143,0.08961040998084396,0.3,0.6,26.30226394521928
2025-09-23,10,0.09908896815685683,0.10239615662673704,0.3,0.6,29.00761710789721
2025-09-24,10,0.1123340657653173,0.1156811090925951,0.3,0.7,32.378494741556196
2025-09-25,10,0.11875264403158754,0.1221190010346916,0.3,0.6,36.34227924591044
2025-09-26,10,0.07398183245978515,0.07721347287842044,0.3,0.5,39.1049294927479
2025-09-29,10,0.008170366555174191,0.011203978490646142,0.2,0.4,39.43260146737307
2025-09-30,10,-0.017148911453241232,-0.014191485910974156,0.1,0.3,38.739226364984894
2025-10-01,10,0.02045454871786191,0.02352512409013232,0.1,0.4,39.552074306677625
2025-10-02,10,-0.0047925023019797395,-0.001797895989949605,0.1,0.4,39.35772839721282
2025-10-10,10,-0.01360607919235447,-0.010637993171870076,0.0,0.5,38.808617948616806
2025-10-13,10,-0.0015321957591784008,0.0014722209035322065,0.0,0.5,38.74762335301718
2025-10-14,10,0.04432942616648602,0.04747184169156071,0.3,0.4,40.50961268773805
2025-10-15,10,0.015456807699260422,0.018512344733460806,0.2,0.4,41.1512187887232
2025-10-16,10,0.019372815129214783,0.022440135535822237,0.3,0.4,41.967806557788215
2025-10-17,10,0.07669432122095289,0.07993412359172807,0.3,0.5,45.263193316091
2025-10-20,10,0.09584631383135134,0.09914374506655098,0.3,0.6,49.697349861505536
2025-10-21,10,-0.016975358827355302,-0.014017411060536899,0.2,0.4,48.836744156010504
2025-10-22,10,-0.003823915775050757,-0.000826394959930532,0.2,0.5,48.64617264385517
2025-10-23,10,0.026028784064173183,0.029116132461557864,0.2,0.5,49.93840215121473
2025-10-24,10,-0.050147104743832646,-0.04728897165880907,0.2,0.3,47.3839887630543
2025-10-27,10,-0.09724668511191496,-0.09453027593973416,0.2,0.3,42.678806243355126
2025-10-28,10,-0.11210990099644155,-0.10943821564337168,0.2,0.2,37.78197959976983
2025-10-29,10,-0.0815265387534887,-0.07876282723519427,0.2,0.3,34.62021903699218
2025-10-30,10,-0.07200778862859553,-0.06921543493339569,0.2,0.4,32.05528583367218
2025-10-31,10,-0.03733273618274988,-0.03443604431569699,0.2,0.4,30.821241568198307
2025-11-03,10,-0.08228546590617547,-0.07952403802023619,0.1,0.3,28.202815880046153
2025-11-04,10,-0.0008450810069456028,0.0021614032026623818,0.2,0.6,28.178137134996597
